sujeto,endpoint,objeto,real,esperado,conforme,nota
anonimo,GET /technician/<id>,ajeno,401,401,SÍ,
anonimo,GET /technician/<id>,inexistente,401,401,SÍ,
full_admin,GET /technician/<id>,ajeno,200,200|404,SÍ,
full_admin,GET /technician/<id>,inexistente,404,200|404,SÍ,
gqm_member,GET /technician/<id>,ajeno,200,200|404,SÍ,
gqm_member,GET /technician/<id>,inexistente,404,200|404,SÍ,
subcontractor,GET /technician/<id>,propio,200,200,SÍ,
subcontractor,GET /technician/<id>,ajeno,200,404,NO,FUGA: tareas=['TSK60003'] · jobs=['PTL-I60001'] · POLÍTICAS IAM=['PERM60004']
subcontractor,GET /technician/<id>,inexistente,404,404,SÍ,
sub_B,GET /technician/<id>,propio,200,200,SÍ,
sub_B,GET /technician/<id>,ajeno,200,404,NO,"FUGA: tareas=['TSK60001', 'TSK60018'] · jobs=['QID-I60001'] · POLÍTICAS IAM=['PERM60004']"
sub_B,GET /technician/<id>,inexistente,404,404,SÍ,
technical,GET /technician/<id>,propio,200,200,SÍ,
technical,GET /technician/<id>,ajeno,200,404,NO,FUGA: tareas=['TSK60003'] · jobs=['PTL-I60001'] · POLÍTICAS IAM=['PERM60004']
technical,GET /technician/<id>,inexistente,404,404,SÍ,
tech_de_sub_B,GET /technician/<id>,propio,200,200,SÍ,
tech_de_sub_B,GET /technician/<id>,ajeno,200,404,NO,"FUGA: tareas=['TSK60001', 'TSK60018'] · jobs=['QID-I60001'] · POLÍTICAS IAM=['PERM60004']"
tech_de_sub_B,GET /technician/<id>,inexistente,404,404,SÍ,
tech_independiente,GET /technician/<id>,ajeno,200,404,NO,"FUGA: tareas=['TSK60001', 'TSK60018'] · jobs=['QID-I60001'] · POLÍTICAS IAM=['PERM60004']"
tech_independiente,GET /technician/<id>,inexistente,404,404,SÍ,
anonimo,GET /subcontractors/<id>,ajeno,401,401,SÍ,
anonimo,GET /subcontractors/<id>,inexistente,401,401,SÍ,
full_admin,GET /subcontractors/<id>,ajeno,200,200|404,SÍ,
full_admin,GET /subcontractors/<id>,inexistente,404,200|404,SÍ,
gqm_member,GET /subcontractors/<id>,ajeno,200,200|404,SÍ,
gqm_member,GET /subcontractors/<id>,inexistente,404,200|404,SÍ,
subcontractor,GET /subcontractors/<id>,propio,200,200,SÍ,
subcontractor,GET /subcontractors/<id>,ajeno,200,404,NO,FUGA: tareas=['TSK60003'] · jobs=['PTL-I60001'] · órdenes=['ORD60002']
subcontractor,GET /subcontractors/<id>,inexistente,404,404,SÍ,
sub_B,GET /subcontractors/<id>,propio,200,200,SÍ,
sub_B,GET /subcontractors/<id>,ajeno,200,404,NO,"FUGA: tareas=['TSK60001', 'TSK60002', 'TSK60018'] · jobs=['QID-I60001'] · órdenes=['ORD60001']"
sub_B,GET /subcontractors/<id>,inexistente,404,404,SÍ,
technical,GET /subcontractors/<id>,propio,403,403,SÍ,
technical,GET /subcontractors/<id>,ajeno,403,403,SÍ,
technical,GET /subcontractors/<id>,inexistente,403,403,SÍ,
tech_de_sub_B,GET /subcontractors/<id>,propio,403,403,SÍ,
tech_de_sub_B,GET /subcontractors/<id>,ajeno,403,403,SÍ,
tech_de_sub_B,GET /subcontractors/<id>,inexistente,403,403,SÍ,
tech_independiente,GET /subcontractors/<id>,ajeno,403,403,SÍ,
tech_independiente,GET /subcontractors/<id>,inexistente,403,403,SÍ,
anonimo,GET /certificate/sub/<id>,ajeno,401,401,SÍ,
anonimo,GET /certificate/sub/<id>,inexistente,401,401,SÍ,
full_admin,GET /certificate/sub/<id>,ajeno,200,200|404,SÍ,
full_admin,GET /certificate/sub/<id>,inexistente,200,200|404,SÍ,
gqm_member,GET /certificate/sub/<id>,ajeno,200,200|404,SÍ,
gqm_member,GET /certificate/sub/<id>,inexistente,200,200|404,SÍ,
subcontractor,GET /certificate/sub/<id>,propio,200,200,SÍ,
subcontractor,GET /certificate/sub/<id>,ajeno,200,200 vacío,NO,"FUGA: la lista trae datos ajenos ['CERT60002', 'SUBC60002']"
subcontractor,GET /certificate/sub/<id>,inexistente,200,200|404,SÍ,
sub_B,GET /certificate/sub/<id>,propio,200,200,SÍ,
sub_B,GET /certificate/sub/<id>,ajeno,200,200 vacío,NO,"FUGA: la lista trae datos ajenos ['CERT60001', 'SUBC60001']"
sub_B,GET /certificate/sub/<id>,inexistente,200,200|404,SÍ,
technical,GET /certificate/sub/<id>,propio,403,403,SÍ,
technical,GET /certificate/sub/<id>,ajeno,403,403,SÍ,
technical,GET /certificate/sub/<id>,inexistente,403,403,SÍ,
tech_de_sub_B,GET /certificate/sub/<id>,propio,403,403,SÍ,
tech_de_sub_B,GET /certificate/sub/<id>,ajeno,403,403,SÍ,
tech_de_sub_B,GET /certificate/sub/<id>,inexistente,403,403,SÍ,
tech_independiente,GET /certificate/sub/<id>,ajeno,403,403,SÍ,
tech_independiente,GET /certificate/sub/<id>,inexistente,403,403,SÍ,
anonimo,GET /attachments/<id>,ajeno,401,401,SÍ,
anonimo,GET /attachments/<id>,inexistente,401,401,SÍ,
full_admin,GET /attachments/<id>,ajeno,200,200|404,SÍ,
full_admin,GET /attachments/<id>,inexistente,404,200|404,SÍ,
gqm_member,GET /attachments/<id>,ajeno,200,200|404,SÍ,
gqm_member,GET /attachments/<id>,inexistente,404,200|404,SÍ,
subcontractor,GET /attachments/<id>,propio,200,200,SÍ,
subcontractor,GET /attachments/<id>,ajeno,200,404,NO,FUGA: jobs=['PTL-I60001']
subcontractor,GET /attachments/<id>,inexistente,404,404,SÍ,
sub_B,GET /attachments/<id>,propio,200,200,SÍ,
sub_B,GET /attachments/<id>,ajeno,200,404,NO,FUGA: jobs=['QID-I60001']
sub_B,GET /attachments/<id>,inexistente,404,404,SÍ,
technical,GET /attachments/<id>,propio,200,200,SÍ,
technical,GET /attachments/<id>,ajeno,200,404,NO,FUGA: jobs=['PTL-I60001']
technical,GET /attachments/<id>,inexistente,404,404,SÍ,
tech_de_sub_B,GET /attachments/<id>,propio,200,200,SÍ,
tech_de_sub_B,GET /attachments/<id>,ajeno,200,404,NO,FUGA: jobs=['QID-I60001']
tech_de_sub_B,GET /attachments/<id>,inexistente,404,404,SÍ,
tech_independiente,GET /attachments/<id>,ajeno,200,404,NO,FUGA: jobs=['QID-I60001']
tech_independiente,GET /attachments/<id>,inexistente,404,404,SÍ,
anonimo,GET /tlactivity/job/<id>,ajeno,401,401,SÍ,
anonimo,GET /tlactivity/job/<id>,inexistente,401,401,SÍ,
full_admin,GET /tlactivity/job/<id>,ajeno,200,200|404,SÍ,
full_admin,GET /tlactivity/job/<id>,inexistente,200,200|404,SÍ,
gqm_member,GET /tlactivity/job/<id>,ajeno,200,200|404,SÍ,
gqm_member,GET /tlactivity/job/<id>,inexistente,200,200|404,SÍ,
subcontractor,GET /tlactivity/job/<id>,propio,200,200,SÍ,
subcontractor,GET /tlactivity/job/<id>,ajeno,200,200 vacío,NO,"FUGA: la lista trae datos ajenos ['PTL-I60001', 'SUBC60002']"
subcontractor,GET /tlactivity/job/<id>,inexistente,200,200|404,SÍ,
sub_B,GET /tlactivity/job/<id>,propio,200,200,SÍ,
sub_B,GET /tlactivity/job/<id>,ajeno,200,200 vacío,NO,"FUGA: la lista trae datos ajenos ['QID-I60001', 'SUBC60001']"
sub_B,GET /tlactivity/job/<id>,inexistente,200,200|404,SÍ,
technical,GET /tlactivity/job/<id>,propio,200,200,SÍ,
technical,GET /tlactivity/job/<id>,ajeno,200,200 vacío,NO,"FUGA: la lista trae datos ajenos ['PTL-I60001', 'SUBC60002']"
technical,GET /tlactivity/job/<id>,inexistente,200,200|404,SÍ,
tech_de_sub_B,GET /tlactivity/job/<id>,propio,200,200,SÍ,
tech_de_sub_B,GET /tlactivity/job/<id>,ajeno,200,200 vacío,NO,"FUGA: la lista trae datos ajenos ['QID-I60001', 'SUBC60001']"
tech_de_sub_B,GET /tlactivity/job/<id>,inexistente,200,200|404,SÍ,
tech_independiente,GET /tlactivity/job/<id>,ajeno,200,200 vacío,NO,"FUGA: la lista trae datos ajenos ['QID-I60001', 'SUBC60001']"
tech_independiente,GET /tlactivity/job/<id>,inexistente,200,200|404,SÍ,
anonimo,GET /tlactivity/sub/<id>,ajeno,401,401,SÍ,
anonimo,GET /tlactivity/sub/<id>,inexistente,401,401,SÍ,
full_admin,GET /tlactivity/sub/<id>,ajeno,200,200|404,SÍ,
full_admin,GET /tlactivity/sub/<id>,inexistente,200,200|404,SÍ,
gqm_member,GET /tlactivity/sub/<id>,ajeno,200,200|404,SÍ,
gqm_member,GET /tlactivity/sub/<id>,inexistente,200,200|404,SÍ,
subcontractor,GET /tlactivity/sub/<id>,propio,200,200,SÍ,
subcontractor,GET /tlactivity/sub/<id>,ajeno,200,200 vacío,NO,"FUGA: la lista trae datos ajenos ['PTL-I60001', 'SUBC60002']"
subcontractor,GET /tlactivity/sub/<id>,inexistente,200,200|404,SÍ,
sub_B,GET /tlactivity/sub/<id>,propio,200,200,SÍ,
sub_B,GET /tlactivity/sub/<id>,ajeno,200,200 vacío,NO,"FUGA: la lista trae datos ajenos ['QID-I60001', 'SUBC60001']"
sub_B,GET /tlactivity/sub/<id>,inexistente,200,200|404,SÍ,
technical,GET /tlactivity/sub/<id>,propio,200,200,SÍ,
technical,GET /tlactivity/sub/<id>,ajeno,200,200 vacío,NO,"FUGA: la lista trae datos ajenos ['PTL-I60001', 'SUBC60002']"
technical,GET /tlactivity/sub/<id>,inexistente,200,200|404,SÍ,
tech_de_sub_B,GET /tlactivity/sub/<id>,propio,200,200,SÍ,
tech_de_sub_B,GET /tlactivity/sub/<id>,ajeno,200,200 vacío,NO,"FUGA: la lista trae datos ajenos ['QID-I60001', 'SUBC60001']"
tech_de_sub_B,GET /tlactivity/sub/<id>,inexistente,200,200|404,SÍ,
tech_independiente,GET /tlactivity/sub/<id>,ajeno,200,200 vacío,NO,"FUGA: la lista trae datos ajenos ['QID-I60001', 'SUBC60001']"
tech_independiente,GET /tlactivity/sub/<id>,inexistente,200,200|404,SÍ,
anonimo,GET /tlactivity/client/<id>,ajeno,401,401,SÍ,
anonimo,GET /tlactivity/client/<id>,inexistente,401,401,SÍ,
full_admin,GET /tlactivity/client/<id>,ajeno,200,200|404,SÍ,
full_admin,GET /tlactivity/client/<id>,inexistente,200,200|404,SÍ,
gqm_member,GET /tlactivity/client/<id>,ajeno,200,200|404,SÍ,
gqm_member,GET /tlactivity/client/<id>,inexistente,200,200|404,SÍ,
subcontractor,GET /tlactivity/client/<id>,propio,200,200,SÍ,
subcontractor,GET /tlactivity/client/<id>,ajeno,200,200 vacío,NO,FUGA: la lista trae datos ajenos (no vacía)
subcontractor,GET /tlactivity/client/<id>,inexistente,200,200|404,SÍ,
sub_B,GET /tlactivity/client/<id>,propio,200,200,SÍ,
sub_B,GET /tlactivity/client/<id>,ajeno,200,200 vacío,NO,FUGA: la lista trae datos ajenos (no vacía)
sub_B,GET /tlactivity/client/<id>,inexistente,200,200|404,SÍ,
technical,GET /tlactivity/client/<id>,propio,200,200,SÍ,
technical,GET /tlactivity/client/<id>,ajeno,200,200 vacío,NO,FUGA: la lista trae datos ajenos (no vacía)
technical,GET /tlactivity/client/<id>,inexistente,200,200|404,SÍ,
tech_de_sub_B,GET /tlactivity/client/<id>,propio,200,200,SÍ,
tech_de_sub_B,GET /tlactivity/client/<id>,ajeno,200,200 vacío,NO,FUGA: la lista trae datos ajenos (no vacía)
tech_de_sub_B,GET /tlactivity/client/<id>,inexistente,200,200|404,SÍ,
tech_independiente,GET /tlactivity/client/<id>,ajeno,200,200 vacío,NO,FUGA: la lista trae datos ajenos (no vacía)
tech_independiente,GET /tlactivity/client/<id>,inexistente,200,200|404,SÍ,
anonimo,GET /tlactivity/pmc/<id>,ajeno,401,401,SÍ,
anonimo,GET /tlactivity/pmc/<id>,inexistente,401,401,SÍ,
full_admin,GET /tlactivity/pmc/<id>,ajeno,200,200|404,SÍ,
full_admin,GET /tlactivity/pmc/<id>,inexistente,200,200|404,SÍ,
gqm_member,GET /tlactivity/pmc/<id>,ajeno,200,200|404,SÍ,
gqm_member,GET /tlactivity/pmc/<id>,inexistente,200,200|404,SÍ,
subcontractor,GET /tlactivity/pmc/<id>,propio,200,200,SÍ,
