sujeto,endpoint,objeto,clave,veredicto,detalle
subcontractor,GET /jobs/<propio>,propio,Acc_receivable,PROHIBIDO,cuentas por cobrar
subcontractor,GET /jobs/<propio>,propio,Bldg_dept_fees,PROHIBIDO,tasas del building dept
subcontractor,GET /jobs/<propio>,propio,Estimated_material,PROHIBIDO,material estimado
subcontractor,GET /jobs/<propio>,propio,Estimated_rent,PROHIBIDO,renta estimada
subcontractor,GET /jobs/<propio>,propio,Gqm_adj_formula_pricing,PROHIBIDO,margen ajustado de GQM
subcontractor,GET /jobs/<propio>,propio,Gqm_final_percentage,PROHIBIDO,porcentaje final
subcontractor,GET /jobs/<propio>,propio,Gqm_final_prem_in_money,PROHIBIDO,prima final
subcontractor,GET /jobs/<propio>,propio,Gqm_final_sold_pricing,PROHIBIDO,precio final de venta
subcontractor,GET /jobs/<propio>,propio,Gqm_final_target_return,PROHIBIDO,retorno final
subcontractor,GET /jobs/<propio>,propio,Gqm_formula_pricing,PROHIBIDO,margen: fórmula de precio de GQM
subcontractor,GET /jobs/<propio>,propio,Gqm_paid_fees,PROHIBIDO,honorarios pagados
subcontractor,GET /jobs/<propio>,propio,Gqm_premium_in_money,PROHIBIDO,prima de GQM
subcontractor,GET /jobs/<propio>,propio,Gqm_target_return,PROHIBIDO,retorno objetivo de GQM
subcontractor,GET /jobs/<propio>,propio,Gqm_target_sold_pricing,PROHIBIDO,precio objetivo de venta
subcontractor,GET /jobs/<propio>,propio,Gqm_total_change_orders,PROHIBIDO,total de change orders
subcontractor,GET /jobs/<propio>,propio,Gqm_total_materials_fees,PROHIBIDO,total de materiales
subcontractor,GET /jobs/<propio>,propio,Ptl_gc_fee,PROHIBIDO,fee del general contractor
subcontractor,GET /jobs/<propio>,propio,Tech_formula_pricing,PROHIBIDO,fórmula de precio del técnico
subcontractor,GET /jobs/<propio>,propio,client.podio_item_id,PROHIBIDO,id interno de Podio
subcontractor,GET /jobs/<propio>,propio,podio_item_id,PROHIBIDO,id interno de Podio
subcontractor,GET /jobs/<propio>,propio,subcontractors[].Gqm_compliance,PROHIBIDO,estado de cumplimiento
subcontractor,GET /jobs/<propio>,propio,subcontractors[].Notes,PROHIBIDO,notas internas
subcontractor,GET /jobs/<propio>,propio,subcontractors[].Score,PROHIBIDO,puntuación interna del subcontratista
subcontractor,GET /jobs/<propio>,propio,subcontractors[].orders[].Notes,PROHIBIDO,notas internas
subcontractor,GET /jobs/<propio>,propio,subcontractors[].podio_item_id,PROHIBIDO,id interno de Podio
subcontractor,GET /jobs/,propio,results[].Acc_receivable,PROHIBIDO,cuentas por cobrar
subcontractor,GET /jobs/,propio,results[].Bldg_dept_fees,PROHIBIDO,tasas del building dept
subcontractor,GET /jobs/,propio,results[].Estimated_material,PROHIBIDO,material estimado
subcontractor,GET /jobs/,propio,results[].Estimated_rent,PROHIBIDO,renta estimada
subcontractor,GET /jobs/,propio,results[].Gqm_adj_formula_pricing,PROHIBIDO,margen ajustado de GQM
subcontractor,GET /jobs/,propio,results[].Gqm_final_percentage,PROHIBIDO,porcentaje final
subcontractor,GET /jobs/,propio,results[].Gqm_final_prem_in_money,PROHIBIDO,prima final
subcontractor,GET /jobs/,propio,results[].Gqm_final_sold_pricing,PROHIBIDO,precio final de venta
subcontractor,GET /jobs/,propio,results[].Gqm_final_target_return,PROHIBIDO,retorno final
subcontractor,GET /jobs/,propio,results[].Gqm_formula_pricing,PROHIBIDO,margen: fórmula de precio de GQM
subcontractor,GET /jobs/,propio,results[].Gqm_paid_fees,PROHIBIDO,honorarios pagados
